ID,Text,Condition,Rating_Sense1,Rating_Sense2,Rating_IsFunny,Accuracy,RT_Sense1,RT_Sense2,RT_SenseAverage,RT_IsJoke,RT_IsFunny,Delta,Reading_Time,Rank,Version,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,slider_relatedness_responseValue,slider_relatedness_responseTime,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,DistanceFromCenter,Correct,key_resp_sentence.rt_winsor,slider_relatedness_responseTime_winsor,key_resp_IsItJoke.rt_winsor,slider_IsItFunny_responseTime_winsor,N_correct,key_resp_relatedness.rt,key_resp_relatedness.rt_winsor,Kind
1.0,"""- Is this safe to eat?"" 
""- No, it's for storing valuable objects""",Joke,6.026315789473684,6.105263157894737,5.2894736842105265,1.0,3.632450244735513,2.654476513158212,3.143463378946863,1.9310602026308683,2.466615744736945,1.2894736842105263,5.251420852631997,34,Original,,,,,,,,,,,,,,,,,,,,Joke
2.0,The key to excel in sports is to stay positive,Joke,5.625,5.0,4.125,1.0,2.7119027500000357,1.6036522124997248,2.15777748124988,2.76175730000017,1.3626144375003548,2.625,2.47284772500143,106,Original,,,,,,,,,,,,,,,,,,,,Joke
3.0,Two cellphones got married. The reception was fantastic,Joke,5.86,6.34,5.38,1.0,2.3130746659974557,1.7960603940023292,2.0545675299998925,1.4525747180035842,1.8031237080017215,1.08,4.006544466000297,22,Original,,,,,,,,,,,,,,,,,,,,Joke
4.0,"Joan d'Arc was not great at her job, she got fired",Joke,6.0,5.909090909090909,4.454545454545454,1.0,2.707530404545526,2.0631401136344865,2.3853352590900068,4.144545145454882,1.8280511727273896,1.3636363636363635,5.1564054636354095,35,Original,,,,,,,,,,,,,,,,,,,,Joke
5.0,Two fish in a tank. One says: ‘How do you drive this thing?',Joke,5.833333333333333,6.395833333333333,5.583333333333333,1.0,2.457812016663842,2.2143400249984637,2.336076020831153,1.793819847916699,1.833284143749547,1.2708333333333333,4.6177348687503486,32,Original,,,,,,,,,,,,,,,,,,,,Joke
6.0,The problem with kleptomaniacs is that they always take things literally.,Joke,5.512820512820513,5.717948717948718,4.923076923076923,1.0,4.382466741024986,3.3873449256405843,3.8849058333327857,3.994602343589734,1.8757005102561788,1.5897435897435896,5.875135046154087,45,Original,,,,,,,,,,,,,,,,,,,,Joke
7.0,The teacher's eyes were crossed because she could not control her pupils,Joke,6.725,6.525,5.05,1.0,2.5138604174996515,1.5346953000000525,2.024277858749852,2.8868847950000456,1.6239820350009864,0.45,5.497370505000331,2,Original,,,,,,,,,,,,,,,,,,,,Joke
8.0,I told her I was going to make her mine. She has extracted two rubies so far,Joke,6.217391304347826,6.173913043478261,5.195652173913044,1.0,3.44049453695708,1.7569633413040224,2.598728939130551,1.8245184434782045,1.5746547326081248,1.0,8.47662508913041,16,Original,,,,,,,,,,,,,,,,,,,,Joke
9.0,"I don't like people who take drugs, for example: airport security.",Joke,6.130434782608695,5.673913043478261,5.5,1.0,2.6466319195640597,2.026746313042019,2.336689116303039,1.707897034782876,1.6897612956493098,1.2826086956521738,4.446630004348186,33,Original,,,,,,,,,,,,,,,,,,,,Joke
10.0,"""-Order in the court!"" 
""-Ham and cheese on rye, your Honour."" ",Joke,5.84,5.9,5.12,1.0,2.9751943119991053,3.417032580000257,3.196113445999681,2.162053880000442,2.011641645999291,1.14,5.067994801999864,26,Original,,,,,,,,,,,,,,,,,,,,Joke
