ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,slider_relatedness_responseValue,slider_relatedness_responseTime,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,DistanceFromCenter,Correct,key_resp_sentence.rt_winsor,slider_relatedness_responseTime_winsor,key_resp_IsItJoke.rt_winsor,slider_IsItFunny_responseTime_winsor,N_correct
2.0,Joke,The key to excel in sports is to stay positive,POSITIVE,STEROIDS,ATTITUDE,17.37496,6.8,9.22222,3.09707,1.1,4.69161,2.8,0.0,5.385731,4.070777,2.3092354999999998,3.1702909999999993,0
1.0,Joke,"- Is this safe to eat?
- No, it's for storing valuable objects",SAFE,BANK,HARMLESS,7.716399999999999,4.111111111111111,6.816211111111111,3.7113111111111112,4.777777777777778,3.741777777777778,1.2222222222222223,1.0,6.884745555555555,5.675523333333332,2.497650555555555,2.983490555555554,9
15.0,Sense1,"I asked the chief about the spies. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,7.084157142857143,4.857142857142857,6.173171428571428,3.490971428571428,1.7142857142857142,2.3491571428571425,1.1428571428571428,1.0,7.084157142857143,5.9303671428571425,3.212452142857142,2.3491571428571425,7
10.0,Joke,"-Order in the court!
-Ham and cheese on rye, your Honour.",ORDER,ASK,JUDGE,6.127750000000001,3.4,7.29256,1.7917999999999998,4.7,2.71352,1.4,1.0,5.965851,5.7959439999999995,1.7917999999999998,2.653990999999999,10
22.0,Sense2,Jellyfish can't digest food internally. They don't have guts,GUTS,COURAGE,ORGANS,6.720955555555556,4.555555555555555,10.816666666666668,2.2713888888888887,1.1111111111111112,2.9149222222222217,1.0,1.0,6.653867777777778,5.505023333333331,2.199628333333333,2.635045,9
20.0,Sense1,Prisoners don't get enough light because they don't have windows,WINDOWS,COMPUTER,GLASS,8.215011111111112,5.222222222222222,5.8690999999999995,2.6812666666666667,1.2222222222222223,2.679222222222222,1.6666666666666667,1.0,5.996990555555555,5.115926666666665,2.5749677777777773,2.411000555555555,9
24.0,Sense2,The square is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,14.0671,6.444444444444445,4.408822222222223,2.5389999999999997,1.2222222222222223,1.9788222222222223,2.4444444444444446,1.0,4.454156666666666,4.408822222222223,2.5389999999999997,1.9788222222222223,9
7.0,Joke,The teacher's eyes were crossed because she could not control her pupils,PUPILS,STUDENTS,EYES,5.098111111111112,4.222222222222222,4.835466666666666,1.9711333333333334,5.0,2.6241222222222222,1.1111111111111112,1.0,5.098111111111112,4.436314999999999,1.9711333333333334,2.468800555555555,9
4.0,Joke,"Joan d'Arc was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,3.9469777777777773,5.777777777777778,4.687822222222223,1.6344333333333332,3.3333333333333335,1.9944111111111111,1.7777777777777777,1.0,3.9469777777777773,4.6072299999999995,1.6344333333333332,1.9944111111111111,9
21.0,Sense2,The calendar was useful. Its pages were numbered.,NUMBERED,LIMITED,SEQUENCE,4.323728571428572,5.285714285714286,5.1985,2.045314285714286,1.0,3.0987714285714287,1.5714285714285714,1.0,4.461799285714286,5.147262857142856,2.045314285714286,2.5428014285714275,7
